Product Title,Price,Product ID,Category,Subcategory,Type,Short Description,Materials,Product Description,Likes,Features,Popularity
Banana Paradise Wallpaper,20000,MSSONKOLW000018,Wallpaper,Tropical  wallpaper,Tropical,"1.07m x 5m/Roll, Banana Paradise  Wallpaper",Mural,"Transform your living room into a tropical paradise with WallSpruce's Banana Trees wallpaper, evoking the lush greenery of a Karnataka papaya tree. It's the perfect backdrop for enjoying regular piña coladas, making every day feel like a vacation.",1,   High Durability Washable Thermal insulation Colour Fastness bacteria protection from wall moisture Dust Protection Waterproof 100% recycle and reuse Environment friendly,26
Jaipur Royal Mural Wallpaper,42000,MSSUMANKOLW00001,Wallpaper,Tropical  wallpaper,Tropical,"1.07m x 5m/Roll, Mughal Garden wallpaper /Acrylic Coated",Mural,"Inspired by the beauty of fresh springtime blooms, Jaipur Royal Garden celebrates our everyday encounters with nature. Soft, delicate linework adds illustrative elegance, while lively primary hues bring playful movement. Made in collaboration with Suhana.",1,   High Durability Washable Thermal insulation Colour Fastness bacteria protection from wall moisture Dust Protection Fire Proof febric layer Water Proof Environment friendly 100% recycle and reuse,15
Yamuna Sandbar Wallpaper,29999,MSSONKOLW00002,Wallpaper,Abstract wallpaper,Abstract,"1.07m x 5m/Roll, Yamuna Sandbar Wallpaper /Acrylic Coated",Fabric,"Inspired by the beauty of fresh pattern wends and winds over a breadth of white. Wild and winsome, billowing in the breeze. From whispering shades to a dynamic display.",1,   High Durability Washable Thermal insulation Colour Fastness bacteria protection from wall moisture Dust Protection Fire Proof febric layer Water Proof Environment friendly 100% recycle and reuse,11
Jaipur Royal Garden Wallpaper,25000,MSSUMANKOL00010,Wallpaper,Floral wallpapers,Floral,"1.07m x 5m/Roll, Jaipur Garden Wallpaper /Acrylic Coated",Acrylic Coated,"Originally inspired by a Jaipur Garden Tree kolkata, this picnic garden tree is digitally printed for shorter lead times. Available in 5 heights and 31 non-repeating panels. Designed by Mehadi Hassan, and distributed exclusively by Ayatrio in kolkata.",1,  High durability Washable Thermal insulating Colour fastness Bacteria protection from wall moisture Dust protection Fire proof fabric layer Water proof Environment friendly 100% recycle and reuse,10
Mysuru Valley Wallpaper,45000,MSSONKOLW00003,Wallpaper,Tropical  wallpaper,Tropical,"1.07m x 5m/Roll, Mysuru Valley Wallpaper /Acrylic Coated",Fabric,Inspired by the beauty of fresh patterns Mysuru Garden and low into you as sunshine flows into flowers. From whispering shades to a dynamic display.,1,   High Durability Washable Thermal insulation Colour Fastness bacteria protection from wall moisture Dust Protection Fire Proof febric layer Water Proof Environment friendly 100% recycle and reuse,9
Seraphic Mist Wallpaper,30000,MSSONKOLW000030,Wallpaper,Abstract wallpaper,Abstract,"1.07m x 5m/Roll, Seraphic Mist wallpaper /Acrylic Coated",Mural,"Indians often enhance their Seraphic Mist Wallpaper with flowers. This vibrant design, filled with overlapping leaves, flowers, and birds, brings joy with its bright colours and natural matte finish on straw-textured paper.",1,   High Durability Washable Thermal insulation Colour Fastness bacteria protection from wall moisture Dust Protection Waterproof 100% recycle and reuse Environment friendly,9
Ethnic Elephants Wallpaper,35000,MSSONKOLW000028,Wallpaper,Tropical  wallpaper,Tropical,"1.07m x 5m/Roll, Ethnic Elephants Wallpaper/Acrylic Coated",Traditional,"Transform your living room with the Ethnic Elephants watercolour wallpaper. Featuring a majestic, adorned elephant and vibrant florals, this stunning mural adds enchantment and a bohemian charm to any space, making it a true conversation piece.",1,   High Durability Washable Thermal insulation Colour Fastness bacteria protection from wall moisture Dust Protection Waterproof Environment friendly Environment friendly,7
Rajputana Radiance Wallpaper,27999,MSSONKOLW000015,Wallpaper,Animal wallpapers,Floral ,"1.07m x 5m/Roll,Rajputana Radiance Wallpaper ",Fabric,"
Immerse yourself in the elegance of nature and design with the Rajputana Radiance Wallpaper Pattern, crafted by Ayatrio Lab Design. This stunning wallpaper features an expansive floral motif, thoughtfully designed to bring a graceful yet lively essence to your walls.",1,   High Durability Washable Thermal insulation Colour Fastness bacteria protection from wall moisture Dust Protection Waterproof Environment friendly 100% Recycle and Reuse,6
Terracotta Stripe wallpaper,33000,MSSONKOLW000024,Wallpaper,Damask wallpaper,Demask,"1.07m x 5m/Roll, Terracotta Stripe wallpaper /Acrylic Coated",Traditional,"A traditional Madhubani-inspired floral stripe design with a hand-painted appearance. This design, featuring a hand-blocked look, is presented in rich maroon and deep saffron hues, reminiscent of the vibrant textiles of Rajasthan.",1,   High Durability Washable Thermal insulation Colour Fastness bacteria protection from wall moisture Dust Protection Waterproof 100% recycle and reuse Environment friendly,6
Lotus Vine Wallpaper,35000,MSSONKOLW000044,Wallpaper,Plain and textured wallpaper,Plain and Texture Wallpaper,"1.07m x 5m/Roll,Lotus Vine Wallpaper/Acrylic Coated",Fabric,"The ""Lotus Vine"" wallpaper by Aytrio captures the essence of serenity and beauty with flowing, intricate lotus motifs intertwined with delicate vines. This design offers a harmonious blend of traditional Indian artistry, evoking the tranquil ambiance of a lotus pond. The graceful vines create a soothing and organic feel, perfect for transforming any room into a peaceful retreat while maintaining an elegant, timeless aesthetic.",0,   High Durability Washable Thermal insulation Colour Fastness bacteria protection from wall moisture Dust Protection Waterproof 100% recycle and reuse Environment friendly,6
Juniper Joy Wallpaper,25000,MSSONKOLW000025,Wallpaper,Animal wallpapers,Animal,"1.07m x 5m/Roll, Juniper Joy Wallpaper /Acrylic Coated",Traditional,"A leaf and butterfly wallpaper features delicate, nature-inspired designs with lush green leaves and graceful butterflies. It adds a fresh, whimsical touch to any room, evoking a serene, outdoor atmosphere.",0,   High Durability Washable Thermal insulation Colour Fastness bacteria protection from wall moisture Dust Protection Waterproof 100% recycle and reuse Environment friendly,5
Vibrant Vines of India Wallpaper,22000,MSSONKOLW000017,Wallpaper,Geometric Wallpaper,Geometric,"1.07m x 5m/Roll, Ayatrio Vibrant Vines of India Wallpaper /Acrylic Coated",Fabric,"""Embrace the charm of India with our Vibrant Vines wallpaper. This exquisite design meanders gracefully over a pristine white backdrop. Lush and lively, it captures the essence of Indian nature, dancing with the breeze. From soft whispers of color to a vivid spectacle, it's a celebration of natural beauty.""",1,   High Durability Washable Thermal insulation Colour Fastness bacteria protection from wall moisture Dust Protection Waterproof 100% recycle and reuse Environment friendly,4
Palm Peace Wallpaper,18999,MSSONKOLW000019,Wallpaper,Tropical  wallpaper,Tropical,"1.07m x 5m/Roll, Palm Peace Wallpaper /Acrylic Coated",Mural,"Introducing our vibrant twist on a traditional tropical design. Graceful palm leaves spread out, evoking a serene, island vibe with a contemporary flair. The intricate tonal variations add depth and dynamism. This elegant yet impactful pattern can effortlessly transform any room into a lively oasis.",1,   High Durability Washable Thermal insulation Colour Fastness bacteria protection from wall moisture Dust Protection Waterproof 100% recycle and reuse Environment friendly,4
Jaisalmer Mystery Wallpaper,35000,MSSONKOLW000027,Wallpaper,Tropical  wallpaper,Tropical,"1.07m x 5m/Roll, Jaisalmer Mystery Wallpaper /Acrylic Coated",Traditional,"Transform your space with the Jaisalmer Mystery Jungle Wallpaper, inspired by the mystique of Jaisalmer's golden dunes and lush oases. Immerse in exotic, intricate patterns that evoke the enigmatic charm of the desert wilderness.",1,   High Durability Washable Thermal insulation Colour Fastness bacteria protection from wall moisture Dust Protection Waterproof Environment friendly Environment friendly,4
Aurora Mist Wallpaper,30000,MSSONKOLW000031,Wallpaper,Abstract wallpaper,Abstract,"1.07m x 5m/Roll, Aurora Mist Wallpaper /Acrylic Coated",Mural,"Aurora Mist wallpaper features a luxuriously soft, matte velvet that beautifully captures the interplay of shapes and colors. The design showcases fluid, rounded forms that create a dynamic and vibrant scene. The elegant colour contrasts, achieved through digital printing, add depth and luminosity to the wallpaper.",1,   High Durability Washable Thermal insulation Colour Fastness bacteria protection from wall moisture Dust Protection Waterproof Environment friendly 100% recycle and reuse,4
Peacock’s Pride Wallpaper,3500,MSSONKOLW000036,Wallpaper,Animal wallpapers,Animal,1.07m x 5m/RollPeacock’s Pride Wallpaper/Acrylic Coated,Fabric,"A vibrant depiction of a peacock gracefully perched amidst a backdrop of intricate floral patterns, designed by Ayatrio. The wallpaper exudes elegance with its harmonious blend of vivid peacock feathers and delicate flowers, symbolizing beauty and grace. The rich colors and detailed artistry create a luxurious ambiance, perfect for adding a touch of opulence to any space.",0,   High Durability Washable Thermal insulation Colour Fastness bacteria protection from wall moisture Dust Protection Waterproof 100% recycle and reuse Environment friendly,4
Blossom Harmony Wallpaper,35000,MSSONKOLW00005,Wallpaper,Floral wallpapers,Floral ,115.0 sq ft Blossom Febrick Floral Harmony wallpaper 1.37.0m x 9m/ Roll,Fabric,"Elegant and captivating, the Blossom Harmony wallpaper embodies the spirit of Indian culture with its vibrant colours and intricate floral patterns. This versatile design effortlessly blends traditional motifs with contemporary style, creating a harmonious backdrop for any space.",1,   High Durability Washable Thermal insulation Colour Fastness bacteria protection from wall moisture 100% recycle and reuse Waterproof Environment friendly,3
Lotus Symphony Wallpaper,20000,MSSONKOLW00006,Wallpaper,Floral wallpapers,Floral ,"1.07m x 5m/Roll,Lotus Symphony Wallpaper ",Mural,"Originally crafted for the Ayatrio collection and inspired by Harshkumar, Lotus Symphony has become one of our best-loved prints. This vibrant floral wallpaper brings a luxurious touch to any soft furnishing, adding a unique and elegant finish.",1,   High Durability Washable Thermal insulation Colour Fastness bacteria protection from wall moisture Dust Protection Waterproof 100% recycle and reuse Environment friendly,3
Gulzar Elegance Wallpaper,29999,MSSONKOLW000014,Wallpaper,Vintage Wallpaper,Floral ,"1.07m x 5m/Roll,Gulzar Elegance Wallpaper /Acrylic Coated",Fabric,"Brimming with intricate and multidirectional floral patterns, the Gulzar Elegance Wonderland-themed wallpaper beautifully merges traditional and contemporary interior styles. Its faux linen base adds a textured and authentic feel, creating a perfect backdrop that captures the essence of Indian aesthetics.",1,   High Durability Washable Thermal insulation Colour Fastness bacteria protection from wall moisture Dust Protection Waterproof Environment friendly 100% Recycle and Reuse,3
Twilight Bloom Wallpaper,35000,MSSONKOLW000033,Wallpaper,Geometric Wallpaper,Geometric,"1.07m x 5m/Roll,Twilight Bloom Wallpaper /Acrylic Coated",Mural,"Twilight Bloom draws inspiration from this artistic technique, blending geometric patterns with gentle curves and textured details. Crafted partially from recycled polyester fibers, it showcases sophisticated color palettes enhanced by shimmering iridescent inks.",0,   High Durability Washable Thermal insulation Colour Fastness bacteria protection from wall moisture Dust Protection Waterproof Environment friendly 100% recycle and reuse,3
Amber Wallpaper,19999,MSSONKOLW00004,Wallpaper,Floral wallpapers,Floral ,"1.07m x 5m/Roll, Amber Wallpaper /Acrylic Coated",Fabric,"This charming chai-colored pattern was inspired by an original East India Company Chinese wallpaper, and designed using antique stencils. Available in 5 heights and 31 non-repeating panels. Designed by Rajat Ray, and distributed exclusively by Ayatrio in kolkata.",1,   High Durability Washable Thermal insulation Colour Fastness bacteria protection from wall moisture Dust Protection Waterproof 100% recycle and reuse,2
Petal Perfection Wallpaper,29999,MSSONKOLW000013,Wallpaper,Floral wallpapers,Floral ,"1.07m x 5m/Roll, Petal Perfection Wallpaper /Acrylic Coated",Fabric,"Embrace the essence of nature and intricate design with the Petal Perfection Wallpaper Pattern. Crafted by Ayatrio Lab Design, this wallpaper features a striking oversized floral motif, perfect for adding a touch of elegance and vibrancy to any room. Infuse your space with a blend of simplicity and dynamism, inspired by traditional Indian aesthetics.",1,   High Durability Washable Thermal insulation Colour Fastness bacteria protection from wall moisture Dust Protection Waterproof 100% recycle and reuse,2
